	Time	Day_of_week	Age_of_driver	Gender_of_driver	Educational_level	Vehicle_driver_relation	Driving_experience	Owner_of_vehicle	Area_accident_occured	Lanes_or_Medians	Road_allignment	Types_of_Junction	Road_surface_type	Road_surface_conditions	Light_conditions	Weather_conditions	Type_of_collision	Number_of_vehicles_involved	Number_of_casualties	Vehicle_movement	Pedestrian_movement	Cause_of_accident	Accident_severity
3554	18:01:00	Monday	18-30	Female	Junior high school	Employee	5-10yr	Owner	Office areas	Undivided Two way	Tangent road with flat terrain	Y Shape	Gravel roads	Dry	Daylight	Normal	Vehicle with vehicle collision	2	1	Going straight	Not a Pedestrian	Changing lane to the right	Slight Injury
3555	2:02:00	Tuesday	31-50	Male	High school	Employee	2-5yr	Owner	Residential areas	Undivided Two way	Tangent road with flat terrain	No junction	Asphalt roads	Wet or damp	Darkness - light	Cloudy	Vehicle with vehicle collision	1	1	Going straight	Not a Pedestrian	Changing lane to the left	Slight Injury
3556	16:22:00	Monday	31-50	Male	High school	Owner	2-5yr	Owner	Other	Two-way (divided with broken lines road marking)	Tangent road with flat terrain	Crossing	Asphalt roads	Dry	Daylight	Normal	Vehicle with vehicle collision	1	1	Going straight	Not a Pedestrian	Changing lane to the left	Slight Injury
3557	13:10:00	Wednesday	31-50	Male	Junior high school	Employee	Below 1yr	Owner	Other	Two-way (divided with broken lines road marking)	Tangent road with flat terrain	No junction	Asphalt roads	Dry	Daylight	Normal	Collision with roadside objects	1	1	Going straight	Not a Pedestrian	Getting off the vehicle improperly	Slight Injury
3558	9:17:00	Tuesday	31-50	Male	Junior high school	Owner	Above 10yr	Owner	  Recreational areas	Two-way (divided with broken lines road marking)	Tangent road with flat terrain	No junction	Earth roads	Dry	Daylight	Normal	Collision with roadside objects	1	1	Moving Backward	Not a Pedestrian	Overtaking	Slight Injury
3559	12:39:00	Tuesday	18-30	Male	Junior high school	Employee	Above 10yr	Owner	 Church areas	One way	Tangent road with flat terrain	No junction	Asphalt roads	Dry	Daylight	Normal	Vehicle with vehicle collision	1	1	Going straight	Not a Pedestrian	Changing lane to the left	Slight Injury
3560	10:35:00	Tuesday	31-50	Male	Elementary school	Employee	2-5yr	Owner	School areas	Two-way (divided with broken lines road marking)	Tangent road with flat terrain	Y Shape	Asphalt roads	Dry	Daylight	Normal	Collision with roadside objects	1	1	Other	Crossing from driver's nearside	Driving under the influence of drugs	Serious Injury
3561	14:23:00	Tuesday	31-50	Female	Junior high school	Employee	2-5yr	Owner	Office areas	Undivided Two way	Tangent road with flat terrain	Y Shape	Asphalt roads	Dry	Daylight	Normal	Collision with roadside objects	1	1	Going straight	Not a Pedestrian	Driving carelessly	Slight Injury
3562	4:48:00	Wednesday	31-50	Male	Junior high school	Employee	Above 10yr	Owner	Other	Undivided Two way	Tangent road with flat terrain	No junction	Asphalt roads	Dry	Darkness - light	Normal	Vehicle with vehicle collision	2	1	Going straight	Not a Pedestrian	Moving Backward	Slight Injury
3563	4:48:00	Wednesday	31-50	Male	Elementary school	Employee	5-10yr	Owner	Residential areas	Undivided Two way	Tangent road with flat terrain	No junction	Asphalt roads	Dry	Darkness - light	Normal	Vehicle with vehicle collision	2	1	Going straight	Not a Pedestrian	No distancing	Slight Injury
3564	15:17:00	Wednesday	31-50	Female	Junior high school	Employee	Below 1yr	Owner	Other	Undivided Two way	Tangent road with flat terrain	Crossing	Earth roads	Dry	Daylight	Normal	Collision with roadside objects	1	1	Going straight	Not a Pedestrian	No priority to vehicle	Slight Injury
3565	15:30:00	Wednesday	31-50	Male	Elementary school	Employee	Below 1yr	Owner	Other	other	Steep grade downward with mountainous terrain	Y Shape	Asphalt roads	Dry	Daylight	Normal	Vehicle with vehicle collision	2	2	Going straight	Not a Pedestrian	Overturning	Slight Injury
3566	15:30:00	Wednesday	31-50	Male	Junior high school	Employee	Below 1yr	Owner	Office areas	One way	Steep grade downward with mountainous terrain	Y Shape	Asphalt roads	Dry	Daylight	Normal	Vehicle with vehicle collision	2	2	Moving Backward	Not a Pedestrian	Changing lane to the left	Slight Injury
3567	15:30:00	Wednesday	31-50	Male	Junior high school	Employee	5-10yr	Owner	Residential areas	Two-way (divided with broken lines road marking)	Tangent road with flat terrain	Y Shape	Asphalt roads	Dry	Daylight	Normal	Vehicle with vehicle collision	2	2	Moving Backward	Not a Pedestrian	No distancing	Slight Injury
3568	18:55:00	Thursday	31-50	Male	Junior high school	Owner	5-10yr	Owner	Other	Two-way (divided with broken lines road marking)	Tangent road with flat terrain	Crossing	Asphalt roads	Dry	Daylight	Normal	Vehicle with vehicle collision	1	1	Going straight	Crossing from driver's nearside	Moving Backward	Serious Injury
3569	2:44:00	Saturday	31-50	Male	High school	Owner	5-10yr	Organization	Residential areas	Undivided Two way	Tangent road with flat terrain	Crossing	Asphalt roads	Dry	Darkness - light	Normal	Vehicle with vehicle collision	1	1	Going straight	Not a Pedestrian	No priority to vehicle	Slight Injury
3570	1:00:00	Saturday	31-50	Female	Junior high school	Employee	5-10yr	Owner	 Church areas	Two-way (divided with broken lines road marking)	Tangent road with flat terrain	No junction	Asphalt roads	Dry	Darkness - light	Normal	Vehicle with vehicle collision	1	1	Going straight	Not a Pedestrian	No priority to vehicle	Slight Injury
3571	23:35:00	Thursday	31-50	Male	Junior high school	Employee	2-5yr	Governmental	Residential areas	Two-way (divided with broken lines road marking)	Tangent road with flat terrain	No junction	Asphalt roads	Wet or damp	Darkness - light	Normal	Collision with pedestrians	2	1	Going straight	Not a Pedestrian	No distancing	Slight Injury
3572	23:35:00	Thursday	31-50	Male	Elementary school	Employee	5-10yr	Owner	Office areas	One way	Tangent road with flat terrain	No junction	Asphalt roads	Wet or damp	Darkness - light	Normal	Vehicle with vehicle collision	2	1	Going straight	Not a Pedestrian	No distancing	Slight Injury
3573	3:40:00	Saturday	31-50	Male	Junior high school	Employee	2-5yr	Governmental	Residential areas	Two-way (divided with broken lines road marking)	Tangent road with flat terrain	Y Shape	Asphalt roads	Dry	Darkness - light	Normal	Collision with roadside objects	1	1	Going straight	Not a Pedestrian	Overtaking	Slight Injury
3574	11:30:00	Saturday	31-50	Male	Junior high school	Employee	Below 1yr	Owner	Other	One way	Tangent road with flat terrain	Crossing	Asphalt roads	Dry	Daylight	Normal	Vehicle with vehicle collision	2	1	Going straight	Not a Pedestrian	Driving under the influence of drugs	Slight Injury
3575	11:30:00	Saturday	Over 51	Male	Elementary school	Employee	2-5yr	Owner	 Industrial areas	Two-way (divided with broken lines road marking)	Tangent road with flat terrain	Crossing	Asphalt roads	Dry	Daylight	Normal	Vehicle with vehicle collision	2	1	Going straight	Crossing from driver's nearside	Changing lane to the right	Slight Injury
3576	23:15:00	Saturday	18-30	Male	Junior high school	Employee	2-5yr	Owner	 Church areas	Two-way (divided with broken lines road marking)	Tangent road with flat terrain	No junction	Earth roads	Dry	Darkness - light	Normal	Vehicle with vehicle collision	2	1	Going straight	Not a Pedestrian	Changing lane to the left	Slight Injury
3577	23:15:00	Saturday	18-30	Male	Junior high school	Employee	2-5yr	Owner	Residential areas	Undivided Two way	Steep grade downward with mountainous terrain	No junction	Asphalt roads	Dry	Darkness - light	Normal	Vehicle with vehicle collision	2	1	Going straight	Not a Pedestrian	Driving carelessly	Slight Injury
3578	2:31:00	Sunday	18-30	Male	Junior high school	Employee	5-10yr	Owner	Residential areas	Two-way (divided with broken lines road marking)	Tangent road with flat terrain	No junction	Asphalt roads	Dry	Darkness - light	Normal	Vehicle with vehicle collision	1	1	Other	"In carriageway, statioNot a Pedestrianry - not crossing  (standing or playing)"	Moving Backward	Slight Injury
3579	14:30:00	Tuesday	Over 51	Male	Junior high school	Employee	5-10yr	Owner	Residential areas	Two-way (divided with broken lines road marking)	Tangent road with flat terrain	Crossing	Asphalt roads	Dry	Daylight	Normal	Vehicle with vehicle collision	2	1	Going straight	Not a Pedestrian	Moving Backward	Slight Injury
3580	14:30:00	Tuesday	Over 51	Female	Junior high school	Employee	5-10yr	Owner	Office areas	Undivided Two way	Tangent road with flat terrain	Crossing	Asphalt roads	Dry	Daylight	Normal	Vehicle with vehicle collision	2	1	Going straight	Not a Pedestrian	Changing lane to the right	Slight Injury
3581	14:30:00	Thursday	Over 51	Female	Junior high school	Owner	5-10yr	Owner	 Outside rural areas	Two-way (divided with broken lines road marking)	Tangent road with mountainous terrain and	Y Shape	Other	Dry	Daylight	Normal	Vehicle with vehicle collision	1	1	Going straight	Not a Pedestrian	No priority to vehicle	Slight Injury
3582	11:30:00	Thursday	31-50	Male	Junior high school	Employee	2-5yr	Owner	 Church areas	Two-way (divided with broken lines road marking)	Steep grade downward with mountainous terrain	No junction	Gravel roads	Dry	Daylight	Normal	Vehicle with vehicle collision	1	1	Going straight	Not a Pedestrian	Driving at high speed	Slight Injury
3583	11:25:00	Friday	31-50	Male	Junior high school	Employee	Below 1yr	Owner	Office areas	other	Tangent road with mountainous terrain and	Y Shape	Gravel roads	Dry	Daylight	Normal	Collision with roadside objects	2	1	Going straight	Not a Pedestrian	Driving under the influence of drugs	Slight Injury
3584	11:25:00	Friday	31-50	Male	Junior high school	Employee	1-2yr	Owner	 Church areas	Two-way (divided with broken lines road marking)	Steep grade downward with mountainous terrain	Y Shape	Asphalt roads	Dry	Daylight	Normal	Vehicle with vehicle collision	2	1	Going straight	Not a Pedestrian	Changing lane to the right	Slight Injury
3585	22:00:00	Saturday	31-50	Male	Junior high school	Employee	Below 1yr	Owner	Office areas	other	Tangent road with mountainous terrain and	Y Shape	Asphalt roads	Dry	Darkness - light	Normal	Collision with roadside objects	2	1	Moving Backward	Not a Pedestrian	Driving carelessly	Slight Injury
3586	22:00:00	Saturday	31-50	Male	Junior high school	Employee	Above 10yr	Governmental	Office areas	Undivided Two way	Tangent road with flat terrain	Y Shape	Earth roads	Dry	Darkness - light	Normal	Vehicle with vehicle collision	2	1	Going straight	Not a Pedestrian	No distancing	Slight Injury
3587	15:30:00	Wednesday	Under 18	Male	Junior high school	Employee	Below 1yr	Owner	School areas	Two-way (divided with broken lines road marking)	Tangent road with flat terrain	Y Shape	Asphalt roads	Dry	Daylight	Normal	Vehicle with vehicle collision	2	1	Going straight	Not a Pedestrian	Changing lane to the left	Slight Injury
3588	15:30:00	Wednesday	Under 18	Male	Junior high school	Employee	2-5yr	Owner	Residential areas	Two-way (divided with broken lines road marking)	Tangent road with flat terrain	Y Shape	Asphalt roads	Dry	Daylight	Normal	Vehicle with vehicle collision	2	1	Going straight	Not a Pedestrian	No distancing	Slight Injury
3589	9:57:00	Tuesday	31-50	Male	Junior high school	Employee	1-2yr	Owner	Office areas	other	Tangent road with mountainous terrain and	Y Shape	Asphalt roads	Dry	Daylight	Normal	Collision with pedestrians	2	1	Going straight	Not a Pedestrian	No distancing	Slight Injury
3590	9:57:00	Tuesday	31-50	Male	Elementary school	Employee	5-10yr	Owner	Rural village areasOffice areas	other	Tangent road with flat terrain	Y Shape	Asphalt roads	Dry	Daylight	Normal	Vehicle with vehicle collision	2	1	Going straight	Not a Pedestrian	Getting off the vehicle improperly	Slight Injury
3591	18:12:00	Tuesday	31-50	Male	Junior high school	Owner	Below 1yr	Owner	Other	Two-way (divided with broken lines road marking)	Tangent road with flat terrain	Y Shape	Earth roads	Dry	Daylight	Normal	Vehicle with vehicle collision	1	1	Going straight	Not a Pedestrian	Overtaking	Slight Injury
3592	17:06:00	Tuesday	31-50	Male	Junior high school	Employee	Below 1yr	Owner	Residential areas	Undivided Two way	Tangent road with flat terrain	Y Shape	Asphalt roads	Dry	Daylight	Normal	Vehicle with vehicle collision	2	1	Going straight	Not a Pedestrian	Driving carelessly	Slight Injury
3593	17:06:00	Tuesday	18-30	Male	Writing & reading	Employee	Below 1yr	Owner	Office areas	Undivided Two way	Tangent road with flat terrain	Y Shape	Asphalt roads	Dry	Daylight	Normal	Collision with pedestrians	2	1	Getting off	Not a Pedestrian	Driving under the influence of drugs	Slight Injury
3594	8:25:00	Tuesday	18-30	Male	Junior high school	Employee	1-2yr	Owner	Office areas	Undivided Two way	Tangent road with flat terrain	Y Shape	Asphalt roads	Dry	Daylight	Normal	Collision with roadside objects	1	1	Going straight	Not a Pedestrian	Moving Backward	Slight Injury
3595	23:05:00	Wednesday	18-30	Male	Elementary school	Owner	5-10yr	Owner	Residential areas	Undivided Two way	Tangent road with flat terrain	No junction	Asphalt roads	Dry	Darkness - light	Normal	Collision with roadside objects	1	1	Going straight	Not a Pedestrian	Overturning	Slight Injury
3596	6:40:00	Thursday	31-50	Male	Junior high school	Employee	2-5yr	Owner	Office areas	Undivided Two way	Tangent road with flat terrain	Y Shape	Asphalt roads	Dry	Daylight	Normal	Vehicle with vehicle collision	2	1	Turnover	Not a Pedestrian	Driving under the influence of drugs	Slight Injury
3597	6:40:00	Thursday	31-50	Male	Junior high school	Owner	Below 1yr	Owner	Office areas	Undivided Two way	Tangent road with flat terrain	Y Shape	Asphalt roads	Dry	Daylight	Normal	Vehicle with vehicle collision	2	1	Moving Backward	Not a Pedestrian	Changing lane to the right	Slight Injury
3598	11:50:00	Monday	18-30	Male	Writing & reading	Employee	5-10yr	Owner	Office areas	Undivided Two way	Tangent road with flat terrain	Crossing	Asphalt roads	Dry	Daylight	Normal	Vehicle with vehicle collision	2	1	Going straight	Not a Pedestrian	Changing lane to the left	Slight Injury
3599	11:50:00	Monday	18-30	Male	Writing & reading	Employee	5-10yr	Owner	Office areas	Two-way (divided with broken lines road marking)	Tangent road with flat terrain	Crossing	Asphalt roads	Dry	Daylight	Normal	Vehicle with vehicle collision	2	1	Moving Backward	Not a Pedestrian	No distancing	Slight Injury
3600	9:40:00	Tuesday	18-30	Male	Junior high school	Employee	5-10yr	Owner	Other	Undivided Two way	Tangent road with flat terrain	Y Shape	Asphalt roads	Dry	Daylight	Normal	Vehicle with vehicle collision	1	1	Going straight	Not a Pedestrian	No distancing	Slight Injury
3601	9:05:00	Thursday	31-50	Male	Junior high school	Employee	2-5yr	Owner	Other	Two-way (divided with broken lines road marking)	Tangent road with flat terrain	Y Shape	Asphalt roads	Dry	Daylight	Normal	Vehicle with vehicle collision	2	1	Going straight	Not a Pedestrian	No priority to vehicle	Serious Injury
3602	9:05:00	Thursday	18-30	Male	Junior high school	Employee	Above 10yr	Owner	Other	Two-way (divided with broken lines road marking)	Tangent road with flat terrain	Y Shape	Earth roads	Dry	Daylight	Normal	Collision with roadside objects	2	1	Going straight	Crossing from offside - masked by  parked or statioNot a Pedestrianry vehicle	Moving Backward	Serious Injury
3603	9:40:00	Friday	31-50	Male	Junior high school	Employee	5-10yr	Owner	Residential areas	One way	Tangent road with flat terrain	Crossing	Asphalt roads	Dry	Daylight	Normal	Collision with roadside objects	2	1	Going straight	Not a Pedestrian	Moving Backward	Slight Injury
3604	9:40:00	Friday	18-30	Male	Junior high school	Employee	Above 10yr	Owner	School areas	Undivided Two way	Tangent road with mild grade and flat terrain	Crossing	Asphalt roads	Dry	Daylight	Normal	Vehicle with vehicle collision	2	1	Going straight	Not a Pedestrian	Getting off the vehicle improperly	Slight Injury
3605	22:35:00	Thursday	Under 18	Male	Junior high school	Employee	2-5yr	Owner	Residential areas	Undivided Two way	Tangent road with mild grade and flat terrain	Y Shape	Asphalt roads	Dry	Darkness - light	Normal	Vehicle with vehicle collision	1	1	Going straight	Not a Pedestrian	Changing lane to the left	Slight Injury
3606	20:18:00	Thursday	18-30	Male	Junior high school	Employee	Below 1yr	Owner	Office areas	Two-way (divided with broken lines road marking)	Tangent road with flat terrain	Crossing	Asphalt roads	Dry	Darkness - light	Normal	Vehicle with vehicle collision	2	1	Going straight	Not a Pedestrian	Changing lane to the left	Slight Injury
3607	20:18:00	Thursday	31-50	Male	Junior high school	Employee	Below 1yr	Owner	 Church areas	One way	Tangent road with flat terrain	Crossing	Earth roads	Dry	Darkness - light	Normal	Vehicle with vehicle collision	2	1	Going straight	Not a Pedestrian	No priority to vehicle	Slight Injury
3608	20:00:00	Friday	31-50	Male	Junior high school	Owner	5-10yr	Owner	Other	Undivided Two way	Tangent road with flat terrain	Crossing	Asphalt roads	Dry	Darkness - light	Normal	Vehicle with vehicle collision	2	1	Going straight	Not a Pedestrian	Changing lane to the right	Slight Injury
3609	20:00:00	Friday	31-50	Male	Junior high school	Employee	2-5yr	Owner	Other	One way	Tangent road with flat terrain	Crossing	Asphalt roads	Dry	Darkness - light	Normal	Rollover	2	1	Going straight	Not a Pedestrian	Changing lane to the right	Slight Injury
3610	13:15:00	Sunday	18-30	Male	Elementary school	Employee	Below 1yr	Owner	Other	Two-way (divided with broken lines road marking)	Tangent road with flat terrain	Crossing	Asphalt roads	Dry	Daylight	Normal	Vehicle with vehicle collision	2	1	Going straight	Not a Pedestrian	Driving carelessly	Slight Injury
3611	13:15:00	Sunday	18-30	Male	Junior high school	Employee	2-5yr	Owner	Other	Two-way (divided with broken lines road marking)	Tangent road with flat terrain	Crossing	Asphalt roads	Dry	Daylight	Normal	Collision with roadside objects	2	1	Other	Not a Pedestrian	Changing lane to the left	Slight Injury
3612	22:39:00	Saturday	31-50	Male	Junior high school	Employee	5-10yr	Owner	Office areas	Undivided Two way	Tangent road with flat terrain	Crossing	Asphalt roads	Dry	Darkness - light	Normal	Collision with pedestrians	2	2	Other	Not a Pedestrian	Changing lane to the right	Slight Injury
3613	22:39:00	Saturday	31-50	Male	High school	Employee	Above 10yr	Owner	Office areas	Two-way (divided with solid lines road marking)	Tangent road with flat terrain	Crossing	Asphalt roads	Dry	Darkness - light	Normal	Vehicle with vehicle collision	2	2	Going straight	Not a Pedestrian	Driving under the influence of drugs	Slight Injury
3614	22:39:00	Saturday	Over 51	Male	High school	Employee	Above 10yr	Owner	Residential areas	Undivided Two way	Tangent road with flat terrain	Crossing	Asphalt roads	Dry	Darkness - light	Normal	Vehicle with vehicle collision	2	2	Going straight	Not a Pedestrian	Driving carelessly	Slight Injury
3615	17:18:00	Sunday	31-50	Male	Junior high school	Employee	5-10yr	Owner	Office areas	One way	Tangent road with flat terrain	Crossing	Asphalt roads	Dry	Daylight	Normal	Vehicle with vehicle collision	2	2	Getting off	Not a Pedestrian	No distancing	Slight Injury
3616	17:18:00	Sunday	31-50	Male	Elementary school	Employee	1-2yr	Owner	Residential areas	Two-way (divided with broken lines road marking)	Tangent road with flat terrain	Crossing	Other	Dry	Daylight	Normal	Vehicle with vehicle collision	2	2	Going straight	Not a Pedestrian	No priority to vehicle	Slight Injury
3617	8:55:00	Friday	18-30	Male	Elementary school	Employee	5-10yr	Owner	Office areas	Undivided Two way	Tangent road with flat terrain	No junction	Asphalt roads	Dry	Daylight	Normal	Vehicle with vehicle collision	2	1	Going straight	Not a Pedestrian	No priority to vehicle	Slight Injury
3618	8:55:00	Friday	18-30	Male	Junior high school	Employee	5-10yr	Owner	Other	Two-way (divided with broken lines road marking)	Tangent road with flat terrain	No junction	Asphalt roads	Dry	Daylight	Normal	Vehicle with vehicle collision	2	1	Going straight	Not a Pedestrian	No priority to vehicle	Slight Injury
3619	10:00:00	Friday	18-30	Male	Junior high school	Employee	1-2yr	Owner	Office areas	One way	Tangent road with flat terrain	Crossing	Asphalt roads	Dry	Daylight	Normal	Vehicle with vehicle collision	2	1	Going straight	Not a Pedestrian	Changing lane to the left	Slight Injury
3620	10:00:00	Friday	18-30	Male	Junior high school	Owner	5-10yr	Owner	School areas	Undivided Two way	Tangent road with flat terrain	Crossing	Asphalt roads	Dry	Daylight	Normal	Collision with roadside objects	2	1	Going straight	Not a Pedestrian	Moving Backward	Slight Injury
3621	8:55:00	Saturday	18-30	Male	High school	Owner	Above 10yr	Owner	Residential areas	One way	Tangent road with flat terrain	Crossing	Asphalt roads	Dry	Daylight	Normal	Rollover	2	1	Getting off	Not a Pedestrian	Driving carelessly	Slight Injury
3622	8:55:00	Saturday	18-30	Male	High school	Owner	Below 1yr	Owner	Office areas	Undivided Two way	Tangent road with flat terrain	Crossing	Asphalt roads	Dry	Daylight	Normal	Vehicle with vehicle collision	2	1	Going straight	Not a Pedestrian	Driving under the influence of drugs	Slight Injury
3623	17:15:00	Thursday	18-30	Male	Writing & reading	Owner	5-10yr	Owner	Residential areas	Undivided Two way	Tangent road with flat terrain	Crossing	Asphalt roads	Dry	Daylight	Normal	Collision with pedestrians	1	1	Going straight	Not a Pedestrian	Changing lane to the right	Slight Injury
3624	1:37:00	Tuesday	18-30	Male	Above high school	Employee	Above 10yr	Owner	Office areas	Undivided Two way	Tangent road with flat terrain	Other	Earth roads	Dry	Darkness - light	Normal	Vehicle with vehicle collision	1	1	Other	Unknown or other	No priority to vehicle	Slight Injury
3625	15:45:00	Monday	Over 51	Male	High school	Employee	Below 1yr	Owner	Residential areas	One way	Tangent road with flat terrain	Y Shape	Asphalt roads	Dry	Daylight	Normal	Vehicle with vehicle collision	3	1	Going straight	Not a Pedestrian	Changing lane to the right	Slight Injury
3626	15:45:00	Monday	18-30	Male	Junior high school	Employee	1-2yr	Owner	Other	other	Tangent road with flat terrain	Y Shape	Asphalt roads	Dry	Daylight	Normal	Collision with pedestrians	3	1	Going straight	Not a Pedestrian	Driving to the left	Slight Injury
3627	15:45:00	Monday	31-50	Male	Junior high school	Employee	Above 10yr	Other	Other	Two-way (divided with broken lines road marking)	Tangent road with flat terrain	Y Shape	Asphalt roads	Dry	Daylight	Normal	Collision with pedestrians	3	1	Going straight	Not a Pedestrian	Moving Backward	Slight Injury
3628	11:05:00	Monday	31-50	Male	Junior high school	Owner	Above 10yr	Owner	Office areas	Two-way (divided with broken lines road marking)	Tangent road with flat terrain	Crossing	Asphalt roads	Dry	Daylight	Normal	Vehicle with vehicle collision	1	1	Going straight	Not a Pedestrian	No priority to vehicle	Slight Injury
3629	9:10:00	Monday	Over 51	Male	Junior high school	Employee	Above 10yr	Owner	Office areas	Two-way (divided with broken lines road marking)	Tangent road with flat terrain	Y Shape	Asphalt roads	Dry	Daylight	Normal	Vehicle with vehicle collision	2	1	Going straight	Not a Pedestrian	No distancing	Slight Injury
3630	9:10:00	Monday	31-50	Male	Junior high school	Employee	No Licence	Owner	Residential areas	Two-way (divided with broken lines road marking)	Tangent road with flat terrain	Y Shape	Asphalt roads	Dry	Daylight	Normal	Vehicle with vehicle collision	2	1	Reversing	Not a Pedestrian	Driving carelessly	Slight Injury
3631	9:30:00	Tuesday	31-50	Female	Junior high school	Employee	1-2yr	Owner	Other	Two-way (divided with broken lines road marking)	Tangent road with flat terrain	Y Shape	Asphalt roads	Dry	Daylight	Normal	Vehicle with vehicle collision	1	1	Other	Not a Pedestrian	Changing lane to the left	Serious Injury
3632	20:08:00	Tuesday	31-50	Female	Illiterate	Owner	1-2yr	Governmental	Other	Undivided Two way	Tangent road with flat terrain	Y Shape	Asphalt roads	Dry	Darkness - light	Normal	Vehicle with vehicle collision	2	1	Going straight	Not a Pedestrian	No priority to vehicle	Slight Injury
3633	20:08:00	Tuesday	31-50	Male	Junior high school	Owner	Below 1yr	Owner	Office areas	Two-way (divided with broken lines road marking)	Tangent road with flat terrain	Y Shape	Asphalt roads	Dry	Darkness - light	Normal	Collision with roadside objects	2	1	Going straight	Not a Pedestrian	No priority to vehicle	Slight Injury
3634	18:54:00	Tuesday	31-50	Male	Junior high school	Owner	1-2yr	Owner	Office areas	Two-way (divided with broken lines road marking)	Tangent road with flat terrain	Crossing	Asphalt roads	Dry	Daylight	Normal	Vehicle with vehicle collision	1	1	Going straight	Not a Pedestrian	No distancing	Slight Injury
3635	14:28:00	Tuesday	Over 51	Male	Junior high school	Owner	2-5yr	Owner	 Church areas	Undivided Two way	Tangent road with flat terrain	Crossing	Asphalt roads	Dry	Daylight	Normal	Vehicle with vehicle collision	1	1	Going straight	Not a Pedestrian	Driving to the left	Slight Injury
3636	13:35:00	Tuesday	31-50	Male	Junior high school	Owner	5-10yr	Governmental	Other	One way	Tangent road with flat terrain	No junction	Asphalt roads	Dry	Daylight	Normal	Vehicle with vehicle collision	2	1	Going straight	Not a Pedestrian	Driving carelessly	Slight Injury
3637	13:35:00	Tuesday	31-50	Male	Junior high school	Owner	Above 10yr	Owner	Office areas	Undivided Two way	Tangent road with flat terrain	No junction	Asphalt roads	Dry	Daylight	Normal	Vehicle with vehicle collision	2	1	Going straight	Not a Pedestrian	Driving carelessly	Slight Injury
3638	16:00:00	Tuesday	31-50	Female	Junior high school	Owner	2-5yr	Owner	Office areas	Two-way (divided with broken lines road marking)	Tangent road with flat terrain	Y Shape	Asphalt roads	Dry	Daylight	Normal	Vehicle with vehicle collision	2	1	Going straight	Not a Pedestrian	Changing lane to the right	Slight Injury
3639	16:00:00	Tuesday	31-50	Male	Elementary school	Owner	Above 10yr	Owner	Residential areas	Two-way (divided with broken lines road marking)	Tangent road with flat terrain	Y Shape	Asphalt roads	Dry	Daylight	Normal	Vehicle with vehicle collision	2	1	Going straight	Not a Pedestrian	Driving carelessly	Slight Injury
3640	14:01:00	Tuesday	31-50	Male	Writing & reading	Owner	5-10yr	Owner	Other	Undivided Two way	Tangent road with flat terrain	Y Shape	Earth roads	Dry	Daylight	Normal	Vehicle with vehicle collision	1	1	Going straight	Not a Pedestrian	Changing lane to the left	Slight Injury
3641	19:17:00	Tuesday	Over 51	Male	Writing & reading	Owner	5-10yr	Owner	Residential areas	Two-way (divided with broken lines road marking)	Tangent road with flat terrain	Y Shape	Asphalt roads	Dry	Darkness - light	Normal	Vehicle with vehicle collision	1	1	Moving Backward	Not a Pedestrian	Driving carelessly	Serious Injury
3642	13:22:00	Wednesday	31-50	Male	Junior high school	Owner	5-10yr	Governmental	Office areas	Two-way (divided with broken lines road marking)	Tangent road with flat terrain	No junction	Asphalt roads	Dry	Daylight	Normal	Vehicle with vehicle collision	1	1	Moving Backward	Not a Pedestrian	Driving carelessly	Slight Injury
3643	8:05:00	Wednesday	31-50	Male	Junior high school	Owner	Below 1yr	Owner	Office areas	Undivided Two way	Tangent road with flat terrain	Crossing	Asphalt roads	Dry	Daylight	Normal	Vehicle with vehicle collision	1	2	Turnover	Not a Pedestrian	Driving under the influence of drugs	Serious Injury
3644	8:05:00	Wednesday	31-50	Male	Junior high school	Owner	2-5yr	Owner	Other	Undivided Two way	Tangent road with flat terrain	Crossing	Asphalt roads	Dry	Daylight	Normal	Vehicle with vehicle collision	1	2	Other	Not a Pedestrian	Driving carelessly	Serious Injury
3645	13:15:00	Wednesday	18-30	Male	Elementary school	Employee	2-5yr	Owner	Other	other	Steep grade downward with mountainous terrain	Crossing	Asphalt roads	Dry	Daylight	Normal	Vehicle with vehicle collision	2	2	Other	Not a Pedestrian	No distancing	Slight Injury
3646	13:15:00	Wednesday	18-30	Male	Junior high school	Employee	2-5yr	Owner	Office areas	One way	Steep grade downward with mountainous terrain	Crossing	Asphalt roads	Dry	Daylight	Normal	Vehicle with vehicle collision	2	2	Going straight	Not a Pedestrian	Driving carelessly	Slight Injury
3647	22:40:00	Wednesday	31-50	Male	Junior high school	Employee	2-5yr	Owner	Residential areas	Two-way (divided with broken lines road marking)	Tangent road with flat terrain	Crossing	Asphalt roads	Dry	Darkness - light	Normal	Vehicle with vehicle collision	1	1	Going straight	Not a Pedestrian	Driving to the left	Slight Injury
3648	22:38:00	Wednesday	31-50	Male	Junior high school	Employee	5-10yr	Owner	Other	Two-way (divided with broken lines road marking)	Tangent road with flat terrain	Crossing	Asphalt roads	Dry	Darkness - light	Normal	Vehicle with vehicle collision	2	2	Other	Not a Pedestrian	Overtaking	Slight Injury
3649	22:38:00	Wednesday	31-50	Male	Junior high school	Employee	5-10yr	Organization	Residential areas	Undivided Two way	Tangent road with flat terrain	Crossing	Asphalt roads	Dry	Darkness - light	Normal	Collision with roadside objects	2	2	Other	Not a Pedestrian	No distancing	Slight Injury
